PitchNo,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,HomeTeamForeignID,AwayTeamForeignID
1,1,1,"Burke, Sean",680732,Right,CWS,"Simpson, Chandler",802415,Left,TB,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,94.96749107,-2.103424584,-2.860647803,2489.240272,200.9047577,12:45,6.269512008,2.325441635,7.325103582,-12.1128816,18.61616352,8.118605154,3.359476889,0.415484412,85.67686675,-4.406103752,-1.311307004,0.398975331,,,,,,,,,,,,-5.373622884,10.92481164,-2.170414136,50.00071151,6.147450263,6.641366811,-137.9882381,-5.45209602,-10.22485895,34.49615183,-11.3830211,CWS,TB,Rate Field,Major League Baseball,AL,145,139
2,1,2,"Burke, Sean",680732,Right,CWS,"Simpson, Chandler",802415,Left,TB,1,Top,0,0,1,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,86.22527382,-2.869609385,-3.796941384,1818.833528,237.577275,2:00,6.05635239,2.080992336,7.517534564,-26.30286114,10.74886587,15.76596443,1.280688334,-0.028041807,78.89604618,-7.817167812,-0.804658506,0.438102508,,,,,,,,,,,,-9.747950553,6.764217962,-1.889926058,50.00047327,5.895169775,7.856728315,-125.1714885,-7.03771137,-15.4166383,26.02203586,-21.47300082,CWS,TB,Rate Field,Major League Baseball,AL,145,139
3,1,3,"Burke, Sean",680732,Right,CWS,"Simpson, Chandler",802415,Left,TB,1,Top,0,0,2,Fastball,InPlay,Undefined,LineDrive,Out,1,0,97.37277879,-2.812338752,-4.354818713,2676.231903,208.1889868,1:00,6.239919134,2.228231242,7.352977853,-12.13094865,17.01549523,8.373946635,2.688261613,-1.013570788,88.49248235,-5.094884911,-2.767101867,0.388565554,80.15127932,25.73309237,-2.809449987,1624.519141,110.0030748,41.16194896,-8.595580134,281.5643281,271.9683345,-9.830395783,3.8,-5.876003758,10.2202929,-1.992535424,50.00333428,6.079715638,10.48650697,-141.245497,-7.346384035,-11.81313587,33.72435768,-11.62951964,CWS,TB,Rate Field,Major League Baseball,AL,145,139
4,2,1,"Burke, Sean",680732,Right,CWS,"Díaz, Yandy",650490,Right,TB,1,Top,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,90.76675584,-2.974276958,-2.769338105,2546.763619,193.8793421,12:30,6.257130704,2.377552871,7.148899227,-24.27540832,8.844895918,-7.33894143,1.536258214,-0.746051525,83.95332812,-7.506543107,-4.153810328,0.414208179,,,,,,,,,,,,3.293560702,5.649902099,-2.212299881,50.0039596,6.07196801,6.605673381,-131.957815,-7.59952076,5.840564758,26.63958426,-22.1586682,CWS,TB,Rate Field,Major League Baseball,AL,145,139
5,2,2,"Burke, Sean",680732,Right,CWS,"Díaz, Yandy",650490,Right,TB,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,89.58437926,-2.454590632,-3.739939811,2628.444771,162.6794353,11:30,6.198176371,2.428436845,7.180383609,-30.5176527,4.035044623,-3.44764852,1.43072073,-1.251586237,81.68396389,-8.19565427,-4.394718453,0.423070252,,,,,,,,,,,,0.732499487,3.016269753,-2.210142749,50.00375281,6.042075951,8.601679437,-130.0347031,-6.484577492,1.238451241,30.15890967,-27.06701318,CWS,TB,Rate Field,Major League Baseball,AL,145,139
6,2,3,"Burke, Sean",680732,Right,CWS,"Díaz, Yandy",650490,Right,TB,1,Top,1,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,96.83163021,-1.821523008,-2.717377992,2488.758609,213.2733633,1:00,6.225279558,2.235253101,7.292468618,-14.4539506,14.90734589,16.42113357,3.374029692,1.14507449,87.93417725,-4.563126878,0.40809858,0.389995078,,,,,,,,,,,,-9.826382444,8.746264083,-2.090635536,50.00702842,6.116976902,6.156252023,-140.7958362,-4.945235814,-19.60370568,33.92416495,-14.73416439,CWS,TB,Rate Field,Major League Baseball,AL,145,139
7,2,4,"Burke, Sean",680732,Right,CWS,"Díaz, Yandy",650490,Right,TB,1,Top,1,2,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,79.8848592,1.256902314,-0.395833279,2532.83392,23.95656353,6:45,6.333891196,2.133302687,7.369347182,-54.44367969,-11.33394228,-9.330939345,2.933052465,0.998701322,73.21963529,-9.04166064,-2.173989189,0.47256244,,,,,,,,,,,,5.009422989,-6.612869858,-2.107579092,50.00187173,6.37857242,1.050099768,-116.2972469,1.112627107,6.800879567,23.60612616,-41.15104093,CWS,TB,Rate Field,Major League Baseball,AL,145,139
8,2,5,"Burke, Sean",680732,Right,CWS,"Díaz, Yandy",650490,Right,TB,1,Top,1,3,1,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,88.7190879,-1.218342107,-2.927527079,2522.257487,174.2641816,11:45,6.159415833,2.408387116,7.235054332,-30.15756614,4.602964812,-2.709539057,2.544268377,-0.468832334,81.56284344,-6.895645508,-3.440259177,0.424340723,101.9309527,28.8428109,21.79391868,2510.049157,100.8446704,54.98564963,45.52672915,355.7863153,350.9419367,35.17273437,4.9,0.673707762,2.874030806,-2.24036816,50.00329646,6.076389669,6.680434109,-129.0660463,-3.639106007,1.136778843,26.80851082,-27.32635033,CWS,TB,Rate Field,Major League Baseball,AL,145,139
9,3,1,"Burke, Sean",680732,Right,CWS,"Lowe, Brandon",664040,Left,TB,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,97.10057692,-3.732026192,-2.555975154,2661.261167,200.7783157,12:45,6.184864403,2.318868111,7.45981315,-11.36273132,17.93666837,8.995099145,1.871041526,0.763669319,88.20032849,-5.876526015,-0.844006549,0.389583785,,,,,,,,,,,,-5.704849287,10.99310935,-2.187199905,50.00286298,5.981616509,6.004365785,-140.9727045,-9.567864082,-11.40204871,34.14941542,-10.20271912,CWS,TB,Rate Field,Major League Baseball,AL,145,139
10,3,2,"Burke, Sean",680732,Right,CWS,"Lowe, Brandon",664040,Left,TB,1,Top,1,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,82.89342445,-0.817132689,-2.133011548,2663.503012,22.71455439,6:45,6.192739869,2.190682819,7.400872403,-55.46592722,-15.33544079,0.960185615,0.835082472,0.345751464,76.35102861,-11.24641545,-1.950006439,0.45594108,,,,,,,,,,,,-1.184261655,-8.181269103,-2.075699629,50.0006391,6.124206148,4.465587943,-120.6028034,-3.239984773,-1.726747542,25.68935197,-44.09730703,CWS,TB,Rate Field,Major League Baseball,AL,145,139
